Budavári Palota;Magyarország;Budapest
Walk Of Fame;Amerikai Egyesült Államok;Los Angeles
Old Town Square;Csehország;Prága
Uspenski Cathedral;Finnország;Helsinki
Christiansborg Palace;Dánia;København
Yangmingshan National Park;Tajvan;Taipei City
Kreml;Oroszország;Moszkva
Conor Mcgregor;Írország;Dublin
Jon Jones;Amerikai Egyesült Államok;New York
Israel Adesanya;Nigéria;Lagos
Dustin Porier;Amerikai Egyesült Államok;Louisiana
Charles Oliveira;Brazília;Paulo
Elon Musk;Dél-Afrika;Pretoria
Andrew Tate;Amerikai Egyesült Államok;Washington D.C.
Golden Gate híd;USA;San Francisco
Alcatraz;USA;San Francisco közelében
Szent Péter bazilika;Olaszország;Róma
Zájed sejk-mecset;Egyesült Arab Emírségek;Abu Dhabi
Taj Mahal;India;Agra
Machu;Peru;Picchu
Angkorvat;Kambodzsa;Angkor
